F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,file,disorder
32.20404,0.21087751,28.362293,34.096066,37.9637,9.601406,168.65799,93.147644,143.9566,126.61556,0.8012559,0.7364723,0.30920398,0.6447731,1.1267912,0.81758726,9.2949,3.7159996,9.81803,7.941984,0.61715287,1.112556,27.401672,0.45557335,14.251651,0.85953426,10.06879,1.5186102,-6.4016967,-3.131289,0.059685268,1.8506814,1.2595823,1.1401039,7.9506626,0.62519157,4.7761583,1.6753625,24.481298,0.33990383,597.63763,0.3198777,1235.8326,0.17468853,-50.10256,-1.426152,1743.9573,0.18286592,773.5537,0.47560272,-57.38355,-1.1132537,2768.5583,0.09540627,813.03845,0.42386746,-60.228996,-1.0267748,-17.769651,-0.38086638,26.467655,0.2773427,0.01854734,1.366143,-0.049958125,-0.42961428,0.55616575,0.70036876,30.564102,0.377421,11.829536,1.0228747,9.614152,1.7555814,-12.711852,-1.3509688,-25.299833,35.299957,-0.071354635,-0.009304999,1.0212468,3.960396,3.0769231,0.25666666,0.20733762,0.048333336,0.033374973,-25.596436,1-phrase.wav,healthy_voices
34.21074,0.13520375,31.231867,34.476086,38.62625,7.3943844,386.38898,444.46045,51.41698,44.287853,1.3509527,0.34070733,1.020216,1.1960294,1.5431442,0.52292824,7.0563006,6.080468,6.6217017,5.342484,0.70435053,0.9224806,5.6230164,1.6349096,11.991498,0.51902485,2.6133235,4.7120776,-2.286808,-5.5371337,0.033891283,2.0814512,0.7743277,0.4646928,4.2077985,1.0319571,4.608926,1.6471432,19.60315,0.20601383,748.98663,0.468544,1080.8546,0.23151861,-93.79304,-0.9370947,1865.488,0.18511534,663.95764,0.38688275,-84.50321,-0.9634351,2939.832,0.102837965,685.26276,0.50155145,-86.42236,-0.9210541,-10.1268215,-0.42616612,19.740526,0.31900394,0.023266762,0.8838952,-0.02905243,-0.48570198,0.6568181,0.5522723,10.522774,0.70492417,13.856789,0.41301036,0.528032,27.492079,-7.818452,-1.5494064,-4.527054,13.045003,-0.017287675,0.0004031649,0.8289007,3.960396,3.5532997,0.17,0.12,0.08857142,0.032261685,-25.005224,1-phrase_awgn_1.wav,healthy_voices
34.518127,0.12422484,31.376545,34.623962,38.578117,7.2015724,363.4906,472.72052,52.317104,43.75827,1.4749221,0.30256566,1.1574774,1.3332784,1.6454602,0.48798287,6.706465,4.6374025,5.316728,3.8549209,0.7427209,0.8631334,4.034224,2.1376338,11.069574,0.52286524,2.609928,4.433317,-2.180648,-5.6608434,0.039873425,1.9451238,0.8120766,0.5758453,2.890625,1.6118743,4.032187,1.8871189,18.069815,0.25053346,851.94586,0.44723254,1061.6534,0.2976675,-96.58419,-0.9005307,1914.811,0.1770929,758.58765,0.4124464,-86.5963,-0.9554916,2967.2263,0.09952549,675.55145,0.3600868,-87.81081,-0.9272035,-8.818277,-0.48287702,18.38269,0.3552442,0.021183144,0.8418708,-0.025144862,-0.632514,0.69771314,0.49447674,8.567268,0.84074366,12.703301,0.3906129,0.93467754,14.759465,-7.1811924,-1.741336,-3.5972185,11.608623,-0.013418125,-1.10982155e-05,0.86020154,3.960396,3.0456855,0.19666666,0.20466775,0.09428571,0.031558175,-24.703901,1-phrase_awgn_2.wav,healthy_voices
32.03909,0.21150005,26.47805,33.10423,38.11547,11.637421,212.02652,124.18303,139.2394,118.48468,0.632886,0.702624,0.25683862,0.51959187,0.9057212,0.64888257,5.6715136,3.7235727,5.1324515,3.8623576,0.3997657,1.1501238,26.896955,0.47430223,14.599391,0.8168217,11.175863,1.4592917,-6.5900483,-3.0141969,0.0650163,2.192597,0.8479222,0.874144,8.014659,0.6759569,6.515402,1.334036,25.1471,0.32522702,587.8174,0.29428217,1220.9711,0.19308436,-51.80515,-1.4595903,1740.0591,0.1816343,746.0252,0.4747645,-57.50958,-1.1460564,2753.2676,0.08310269,878.81976,0.50592285,-60.025932,-1.0616889,-18.104193,-0.41170338,26.639704,0.27652207,0.02105888,1.5046185,-0.048050266,-0.39549264,0.35043865,0.7288649,30.868376,0.3381531,13.223408,0.8850179,11.253004,1.5976316,-11.684994,-1.5099213,-20.347113,28.981438,-0.05640507,-0.009991623,0.68271923,2.7681663,2.1352313,0.375,0.30472666,0.07333333,0.03858612,-28.998714,1-phrase_time_stretch_1.wav,healthy_voices
32.114346,0.21506402,27.135641,34.130123,37.978374,10.842733,209.97804,120.33389,52.313858,21.417984,0.6256594,0.6865742,0.26090884,0.52308136,0.8990308,0.63812196,6.2746863,4.178155,5.7080398,4.778213,0.46378165,1.335714,26.6175,0.47228977,14.580142,0.8091585,11.5428295,1.3774354,-6.6605854,-2.9628375,0.050293487,2.016214,0.79948425,0.78848886,7.940874,0.65670526,2.5939875,6.78423,20.82859,0.7536831,603.3777,0.28681394,1191.2424,0.15224732,-51.182602,-1.4445785,1737.8612,0.18187788,782.40283,0.5396191,-58.11383,-1.1379151,2776.6929,0.08897846,764.1396,0.42355022,-60.563786,-1.0596794,-17.851788,-0.3844915,26.330301,0.2618901,0.022084024,1.2391484,-0.04819287,-0.46505386,0.36889133,0.7413594,30.322634,0.33921334,12.554575,0.9168888,11.596713,1.4659574,-12.370576,-1.3602867,-21.74257,30.03359,-0.05882424,-0.014010077,0.9700699,3.1620553,2.0491803,0.38799998,0.35857493,0.08,0.036331803,-28.745735,1-phrase_time_stretch_2.wav,healthy_voices
33.131702,0.18138085,31.480135,34.753105,37.01586,5.5357265,463.99057,386.38998,676.16376,534.87366,1.466958,0.63801414,0.81364655,1.2157385,1.9663913,1.1527448,17.423555,14.693679,16.257948,10.661174,3.7317333,0.7423905,29.355808,0.4340922,21.281658,0.39101356,13.69237,1.2776668,5.9279046,2.536099,0.044981867,2.4889593,1.495685,1.049084,6.8497286,0.7532772,7.5284634,4.1415277,22.098871,1.2168372,497.13644,0.30340257,1247.6008,0.15703492,-87.38031,-1.0100265,1600.1053,0.2309011,949.3868,0.5150597,-93.18677,-0.84785485,2635.1248,0.10764641,734.1952,0.35010836,-96.014114,-0.7975183,-22.403093,-0.34413028,30.779846,0.26147884,-0.0291001,-1.2541828,-0.047773354,-0.4156329,3.3448534,0.68809396,33.16885,0.3117544,20.937172,0.44987592,13.681447,1.4569044,-0.083123066,-168.33702,-27.900938,38.778194,-0.081664465,-0.020862335,4.23145,3.3333335,4.390244,0.13,0.12009256,0.083749995,0.05097487,-13.718507,10-phrase.wav,healthy_voices
33.22619,0.17648824,31.561844,34.76088,36.7801,5.218258,718.35406,835.2234,565.99194,472.88126,1.8572611,0.448229,1.26319,1.6090889,2.2492151,0.9860251,11.952411,6.469805,13.333867,9.245693,3.7449093,0.7355775,15.313964,0.7226459,21.870861,0.3513039,12.264959,1.1832615,5.653643,2.346144,0.053640783,2.4854677,0.93390745,0.87455803,6.0239086,0.9151515,7.313249,4.25697,20.854074,1.2821393,508.00974,0.42192712,1187.4423,0.1602164,-90.82881,-0.9955078,1691.2706,0.18269028,928.2285,0.5489162,-93.512985,-0.8474289,2669.871,0.12394839,734.651,0.398634,-95.32453,-0.8128076,-18.757057,-0.32347795,27.687126,0.2088069,-0.027770894,-1.2484708,-0.03592633,-0.5847588,3.3357434,0.68755114,19.908997,0.43097728,23.084187,0.31389403,11.645954,1.4372205,0.6551276,20.104534,-19.425543,30.095423,-0.077785976,-0.011687806,4.278554,3.3333335,3.902439,0.1475,0.115406886,0.08625,0.049733665,-13.685754,10-phrase_awgn_1.wav,healthy_voices
33.27063,0.17363982,31.574482,34.75291,36.887394,5.312912,452.99002,391.9491,679.38635,538.0761,1.9641947,0.41608468,1.3738519,1.7337506,2.3438213,0.9699694,11.555388,5.4972596,12.097549,8.663986,3.7544036,0.7322203,13.764568,0.77375066,21.062664,0.36602604,11.539416,1.1852778,5.9377427,2.1802254,0.039302543,2.7991343,1.0286945,0.9581874,5.8490047,0.9281579,7.2144337,4.342307,20.270935,1.3224025,544.26025,0.44892284,1229.4021,0.17887934,-93.96153,-0.9464266,1714.9316,0.18950927,822.68964,0.47738236,-95.14182,-0.8289924,2735.8145,0.12036381,751.70905,0.44724482,-96.6769,-0.7988048,-18.041496,-0.32725453,27.170364,0.2131272,-0.027457077,-1.2817367,-0.034279365,-0.61014265,3.3938634,0.67538065,18.37583,0.46259552,22.682447,0.30624875,11.351653,1.4117079,0.78490543,16.484226,-17.880026,28.602242,-0.07356686,-0.00870917,4.1934943,3.809524,4.390244,0.12777777,0.11764143,0.08625,0.049733665,-13.668413,10-phrase_awgn_2.wav,healthy_voices
31.428852,0.24863558,28.084005,34.63664,36.372772,8.288767,368.73987,245.64072,414.18613,516.5071,1.137684,0.60991937,0.5813017,0.99941933,1.5029631,0.9216614,9.426914,6.88318,9.131251,5.280569,2.557341,1.0648077,28.145813,0.46202323,20.631111,0.41646564,13.325034,1.3328111,4.5842733,3.482475,0.04668924,2.1896756,1.1134648,0.7058629,5.3349633,1.1157513,10.06287,3.1144514,22.690294,0.9841062,525.24225,0.40654698,1219.5889,0.20338802,-73.418396,-1.1739081,1641.3619,0.21869351,1002.8019,0.48221028,-81.61281,-0.9389876,2655.6482,0.10286882,807.30554,0.4731244,-83.508026,-0.89689475,-21.83435,-0.41214532,30.753984,0.30426466,-0.029826658,-1.2914554,-0.041789148,-0.48392335,2.4690404,1.0991865,31.793005,0.32895908,20.482038,0.44620693,13.523253,1.4793957,0.21906939,69.65175,-26.279018,36.439514,-0.079159945,-0.022190271,2.6188343,2.3333333,2.739726,0.24374999,0.2562683,0.111428574,0.07935968,-16.9327,10-phrase_time_stretch_1.wav,healthy_voices
32.336243,0.21182206,31.349176,34.74842,36.629173,5.279997,643.1665,800.54175,194.50574,220.77585,1.1590561,0.6130652,0.63483375,0.98652333,1.5454739,0.9106402,10.396318,6.5472856,10.272764,7.881613,2.4134405,0.8702729,28.284134,0.45921674,20.708162,0.39042798,13.856685,1.3005134,5.780036,2.6969268,0.044981714,2.3564181,0.8725665,0.88446164,6.463383,0.8753532,6.0932937,5.292094,19.750679,1.2403561,543.4776,0.37427884,1219.7231,0.15014355,-80.65653,-1.0958166,1683.5308,0.20770465,913.3832,0.4920779,-88.26124,-0.885384,2677.316,0.101161025,849.1889,0.49212983,-89.617035,-0.8587311,-22.547142,-0.3144738,30.701578,0.26519445,-0.029529594,-1.2483847,-0.0437591,-0.49280274,2.0444353,0.65476567,32.094185,0.30527446,20.534834,0.42432153,13.997341,1.4696424,1.5353655,10.289332,-25.662401,35.937115,-0.08115524,-0.019602038,2.8972178,3.4220533,3.1007752,0.19999999,0.14115594,0.089999996,0.053541258,-16.587172,10-phrase_time_stretch_2.wav,healthy_voices
